=== TOKENS ENCONTRADOS ===

Token                     Lexema               Linea
NUMERO_ENTERO             1                    32
FIN_INDICE                >>                   32
DELIMITADOR_EXP           !                    32
IDENTIFICADOR             mat                  33
INICIO_INDICE             <<                   33
NUMERO_ENTERO             0                    33
FIN_INDICE                >>                   33
INICIO_INDICE             <<                   33
NUMERO_ENTERO             0                    33
FIN_INDICE                >>                   33
ASIGNACION                <-                   33
IDENTIFICADOR             mat                  33
INICIO_INDICE             <<                   33
NUMERO_ENTERO             1                    33
FIN_INDICE                >>                   33
INICIO_INDICE             <<                   33
NUMERO_ENTERO             2                    33
FIN_INDICE                >>                   33
MAS                       +                    33
IDENTIFICADOR             mat                  33
INICIO_INDICE             <<                   33
NUMERO_ENTERO             2                    33
FIN_INDICE                >>                   33
INICIO_INDICE             <<                   33
NUMERO_ENTERO             0                    33
FIN_INDICE                >>                   33
DELIMITADOR_EXP           !                    33
INT                       int                  36
SEPARADOR                 ~                    36
IDENTIFICADOR             i                    36
ASIGNACION                <-                   36
NUMERO_ENTERO             0                    36
DELIMITADOR_EXP           !                    36
INT                       int                  37
SEPARADOR                 ~                    37
IDENTIFICADOR             j                    37
ASIGNACION                <-                   37
NUMERO_ENTERO             0                    37
DELIMITADOR_EXP           !                    37
DO                        do                   38
INICIO_BLOQUE             |:                   38
IDENTIFICADOR             j                    39
ASIGNACION                <-                   39
NUMERO_ENTERO             0                    39
DELIMITADOR_EXP           !                    39
DO                        do                   40
INICIO_BLOQUE             |:                   40
IDENTIFICADOR             mat                  41
INICIO_INDICE             <<                   41
IDENTIFICADOR             i                    41
FIN_INDICE                >>                   41
INICIO_INDICE             <<                   41
IDENTIFICADOR             j                    41
FIN_INDICE                >>                   41
ASIGNACION                <-                   41
IDENTIFICADOR             i                    41
MAS                       +                    41
IDENTIFICADOR             j                    41
DELIMITADOR_EXP           !                    41
IDENTIFICADOR             j                    42
ASIGNACION                <-                   42
IDENTIFICADOR             j                    42
MAS                       +                    42
NUMERO_ENTERO             1                    42
DELIMITADOR_EXP           !                    42
FIN_BLOQUE                :|                   43
WHILE                     while                43
INICIO_PARENTESIS         <|                   43
